(tuple((0, 0)),  tuple((1, 1)),  25),
(tuple((1, 1)),  tuple((0, 0)),  25),
(tuple((1, 1)),  tuple((2, 0)),  24),
(tuple((1, 1)),  tuple((0, 3)),  32),
(tuple((1, 1)),  tuple((3, 1)),  26),
(tuple((2, 0)),  tuple((1, 1)),  24),
(tuple((2, 0)),  tuple((4, 0)),  27),
(tuple((0, 3)),  tuple((1, 1)),  32),
(tuple((0, 3)),  tuple((0, 4)),  11),
(tuple((0, 3)),  tuple((2, 4)),  36),
(tuple((3, 1)),  tuple((1, 1)),  26),
(tuple((3, 1)),  tuple((4, 0)),  21),
(tuple((3, 1)),  tuple((4, 3)),  32),
(tuple((4, 0)),  tuple((3, 1)),  21),
(tuple((4, 0)),  tuple((2, 0)),  27),
(tuple((4, 0)),  tuple((5, 1)),  26),
(tuple((5, 1)),  tuple((4, 0)),  26),
(tuple((5, 1)),  tuple((6, 2)),  27),
(tuple((6, 2)),  tuple((5, 1)),  27),
(tuple((6, 2)),  tuple((6, 6)),  52),
(tuple((4, 3)),  tuple((3, 1)),  32),
(tuple((4, 3)),  tuple((5, 4)),  23),
(tuple((4, 3)),  tuple((3, 3)),  20),
(tuple((5, 4)),  tuple((4, 3)),  32),
(tuple((3, 3)),  tuple((4, 3)),  20),
(tuple((3, 3)),  tuple((2, 4)),  22),
(tuple((2, 4)),  tuple((0, 3)),  36),
(tuple((2, 4)),  tuple((3, 3)),  22),
(tuple((2, 4)),  tuple((2, 6)),  28),
(tuple((2, 4)),  tuple((4, 7)),  44),
(tuple((0, 4)),  tuple((0, 3)),  11),
(tuple((0, 4)),  tuple((2, 6)),  42),
(tuple((0, 4)),  tuple((0, 6)),  24),
(tuple((0, 6)),  tuple((0, 4)),  24),
(tuple((0, 6)),  tuple((1, 8)),  40),
(tuple((1, 8)),  tuple((0, 6)),  40),
(tuple((1, 8)),  tuple((2, 6)),  32),
(tuple((2, 6)),  tuple((0, 4)),  42),
(tuple((2, 6)),  tuple((2, 4)),  28),
(tuple((2, 6)),  tuple((4, 7)),  27),
(tuple((2, 6)),  tuple((5, 8)),  62),
(tuple((2, 6)),  tuple((4, 7)),  27),
(tuple((4, 7)),  tuple((2, 4)),  44),
(tuple((4, 7)),  tuple((2, 6)),  27),
(tuple((4, 7)),  tuple((5, 8)),  32),
(tuple((4, 7)),  tuple((6, 8)),  42),
(tuple((5, 8)),  tuple((2, 6)),  62),
(tuple((5, 8)),  tuple((4, 7)),  42),
(tuple((6, 8)),  tuple((4, 7)),  42),
(tuple((6, 8)),  tuple((6, 6)),  32),
(tuple((6, 6)),  tuple((6, 8)),  32),
(tuple((6, 6)),  tuple((6, 2)),  52),
