STATE_NAME,Lg_Dist_Code,DISTRICT_NAME,MICRO,SMALL,MEDIUM,Total,Last_Updated
ANDHRA PRADESH,502,ANANTHAPUR,7797,238,10,8045,2022-01-11
ANDHRA PRADESH,503,CHITOOR,9623,351,19,9993,2022-01-11
ANDHRA PRADESH,505,EAST GODAVARI,12347,615,49,13011,2022-01-11
ANDHRA PRADESH,506,GUNTUR,11386,630,53,12069,2022-01-11
ANDHRA PRADESH,510,KRISHNA,15189,1007,79,16275,2022-01-11
ANDHRA PRADESH,511,KURNOOL,8972,348,16,9336,2022-01-11
ANDHRA PRADESH,517,PRAKASAM,6527,231,7,6765,2022-01-11
ANDHRA PRADESH,515,SPSR NELLORE,7515,351,19,7885,2022-01-11
ANDHRA PRADESH,519,SRIKAKULAM,2989,98,6,3093,2022-01-11
ANDHRA PRADESH,520,VISAKHAPATNAM,13102,941,78,14121,2022-01-11
ANDHRA PRADESH,521,VIZIANAGARAM,3093,130,3,3226,2022-01-11
ANDHRA PRADESH,523,WEST GODAVARI,10450,586,68,11104,2022-01-11
ANDHRA PRADESH,504,Y.S.R,6330,273,15,6618,2022-01-11
ARUNACHAL PRADESH,628,ANJAW,17,0,0,17,2022-01-11
ARUNACHAL PRADESH,229,CHANGLANG,70,0,0,70,2022-01-11
ARUNACHAL PRADESH,230,DIBANG VALLEY,5,0,0,5,2022-01-11
ARUNACHAL PRADESH,231,EAST KAMENG,18,0,0,18,2022-01-11
ARUNACHAL PRADESH,232,EAST SIANG,65,0,0,65,2022-01-11
ARUNACHAL PRADESH,718,KAMLE,3,0,0,3,2022-01-11
ARUNACHAL PRADESH,677,KRA DAADI,7,0,0,7,2022-01-11
ARUNACHAL PRADESH,233,KURUNG KUMEY,11,1,0,12,2022-01-11
ARUNACHAL PRADESH,724,LEPARADA,4,0,0,4,2022-01-11
ARUNACHAL PRADESH,234,LOHIT,81,0,0,81,2022-01-11
ARUNACHAL PRADESH,666,LONGDING,7,0,0,7,2022-01-11
ARUNACHAL PRADESH,235,LOWER DIBANG VALLEY,31,0,0,31,2022-01-11
ARUNACHAL PRADESH,719,LOWER SIANG,13,0,0,13,2022-01-11
ARUNACHAL PRADESH,236,LOWER SUBANSIRI,141,2,0,143,2022-01-11
ARUNACHAL PRADESH,678,NAMSAI,17,0,0,17,2022-01-11
ARUNACHAL PRADESH,723,PAKKE KESSANG,4,0,0,4,2022-01-11
ARUNACHAL PRADESH,237,PAPUM PARE,483,36,6,525,2022-01-11
ARUNACHAL PRADESH,725,SHI YOMI,4,0,0,4,2022-01-11
ARUNACHAL PRADESH,679,SIANG,7,0,0,7,2022-01-11
ARUNACHAL PRADESH,238,TAWANG,23,2,0,25,2022-01-11
ARUNACHAL PRADESH,239,TIRAP,30,1,0,31,2022-01-11
ARUNACHAL PRADESH,240,UPPER SIANG,12,1,0,13,2022-01-11
ARUNACHAL PRADESH,241,UPPER SUBANSIRI,32,2,0,34,2022-01-11
ARUNACHAL PRADESH,242,WEST KAMENG,79,5,0,84,2022-01-11
ARUNACHAL PRADESH,243,WEST SIANG,37,3,0,40,2022-01-11
ASSAM,616,BAKSA,714,6,1,721,2022-01-11
ASSAM,280,BARPETA,1606,47,4,1657,2022-01-11
ASSAM,705,Biswanath,519,16,0,535,2022-01-11
ASSAM,281,BONGAIGAON,784,32,3,819,2022-01-11
ASSAM,282,CACHAR,2331,105,5,2441,2022-01-11
ASSAM,708,CHARAIDEO,199,9,0,208,2022-01-11
ASSAM,612,CHIRANG,496,13,3,512,2022-01-11
ASSAM,283,DARRANG,4249,42,0,4291,2022-01-11
ASSAM,284,DHEMAJI,1343,20,0,1363,2022-01-11
ASSAM,285,DHUBRI,1007,27,1,1035,2022-01-11
ASSAM,286,DIBRUGARH,2107,138,4,2249,2022-01-11
ASSAM,299,DIMA HASAO,146,0,0,146,2022-01-11
ASSAM,287,GOALPARA,810,23,1,834,2022-01-11
ASSAM,288,GOLAGHAT,1477,43,1,1521,2022-01-11
ASSAM,289,HAILAKANDI,603,12,0,615,2022-01-11
ASSAM,709,HOJAI,543,21,1,565,2022-01-11
ASSAM,290,JORHAT,1292,115,7,1414,2022-01-11
ASSAM,291,KAMRUP,2278,70,10,2358,2022-01-11
ASSAM,618,KAMRUP METRO,6455,983,125,7563,2022-01-11
ASSAM,292,KARBI-ANGELONG,641,11,0,652,2022-01-11
ASSAM,293,KARIMGANJ,1138,41,0,1179,2022-01-11
ASSAM,294,KOKRAJHAR,539,18,0,557,2022-01-11
ASSAM,295,LAKHIMPUR,1110,44,3,1157,2022-01-11
ASSAM,706,MAJULI,142,1,0,143,2022-01-11
ASSAM,296,MARIGAON,887,10,1,898,2022-01-11
ASSAM,297,NAGAON,1826,58,4,1888,2022-01-11
ASSAM,298,NALBARI,921,25,1,947,2022-01-11
ASSAM,300,SIVASAGAR,932,74,5,1011,2022-01-11
ASSAM,301,SONITPUR,1532,62,11,1605,2022-01-11
ASSAM,707,SOUTH SALMARA MANCACHAR,81,2,0,83,2022-01-11
ASSAM,302,TINSUKIA,1638,106,9,1753,2022-01-11
ASSAM,617,UDALGURI,600,8,0,608,2022-01-11
ASSAM,710,WEST KARBI ANGLONG,105,0,0,105,2022-01-11
BIHAR,188,ARARIA,3734,102,3,3839,2022-01-11
BIHAR,611,ARWAL,579,17,0,596,2022-01-11
BIHAR,189,AURANGABAD,2420,55,3,2478,2022-01-11
BIHAR,190,BANKA,2999,24,1,3024,2022-01-11
BIHAR,191,BEGUSARAI,5356,139,12,5507,2022-01-11
BIHAR,192,BHAGALPUR,6246,145,9,6400,2022-01-11
BIHAR,193,BHOJPUR,2880,55,1,2936,2022-01-11
BIHAR,194,BUXAR,1827,49,1,1877,2022-01-11
BIHAR,195,DARBHANGA,5737,125,5,5867,2022-01-11
BIHAR,196,GAYA,6595,119,10,6724,2022-01-11
BIHAR,197,GOPALGANJ,3512,54,1,3567,2022-01-11
BIHAR,198,JAMUI,2563,57,0,2620,2022-01-11
BIHAR,199,JEHANABAD,1301,12,0,1313,2022-01-11
BIHAR,200,KAIMUR (BHABUA),1322,31,1,1354,2022-01-11
BIHAR,201,KATIHAR,4376,122,3,4501,2022-01-11
BIHAR,202,KHAGARIA,2803,41,1,2845,2022-01-11
BIHAR,203,KISHANGANJ,2117,45,4,2166,2022-01-11
BIHAR,204,LAKHISARAI,1314,24,0,1338,2022-01-11
BIHAR,205,MADHEPURA,2513,43,1,2557,2022-01-11
BIHAR,206,MADHUBANI,6316,82,1,6399,2022-01-11
BIHAR,207,MUNGER,2484,20,0,2504,2022-01-11
BIHAR,208,MUZAFFARPUR,10704,312,20,11036,2022-01-11
BIHAR,209,NALANDA,3845,77,2,3924,2022-01-11
BIHAR,210,NAWADA,2863,52,2,2917,2022-01-11
BIHAR,211,PASHCHIM  CHAMPARAN,4291,105,1,4397,2022-01-11
BIHAR,212,PATNA,24416,970,105,25491,2022-01-11
BIHAR,213,PURBI  CHAMPARAN,7909,126,5,8040,2022-01-11
BIHAR,214,PURNIA,6392,240,27,6659,2022-01-11
BIHAR,215,ROHTAS,3609,86,3,3698,2022-01-11
