States/Uts,2007-08,2008-09,2009-10,2010-11,2011-12
Andhra Pradesh,8925,9570,10429,11203,12088
Arunachal Pradesh,32,24,26,28,22
Assam,752,753,756,790,796
Bihar,5783,5934,6124,6517,6643
Chhattisgarh,866,908,956,1029,1119
Goa,58,59,59,60,60
Gujarat,7911,8386,8844,9321,9817
Haryana,5442,5745,6006,6267,6661
Himachal Pradesh,1007,1026,971,1102,1120
Jammu & Kashmir,1519,1565,1592,1609,1614
Jharkhand,1442,1466,1463,1555,1745
Karnataka,4244,4538,4822,5114,5447
Kerala,2253,2441,2509,2645,2716
Madhya Pradesh,6572,6855,7167,7514,8149
Maharashtra,7210,7455,7679,8044,8469
Manipur,78,79,78,78,79
Meghalaya,77,78,78,79,80
Mizoram,17,17,11,11,14
Nagaland,45,53,78,76,78
Orissa,1625,1598,1651,1671,1721
Punjab,9282,9387,9389,9423,9551
Rajasthan,11377,11931,12330,13234,13512
Sikkim,42,42,44,43,45
Tamil Nadu,6540,6651,6787,6831,6968
Tripura,91,96,100,104,111
Uttar Pradesh,18861,19537,20203,21031,22556
Uttarakhand,1221,1230,1377,1383,1417
West Bengal,4087,4176,4300,4471,4672
Andaman & Nicobar Islands,24,26,24,25,26
Chandigarh,47,47,46,45,45
Dadar & Nagar Haveli,10,10,10,11,11
Daman & Diu,1,1,1,1,1
Delhi,445,450,466,480,502
Lakshadweep,2,2,2,2,2
Puducherry,47,46,46,47,45
All India,107934,112183,116425,121848,127904
