Company Name,Index_type,Sector,Industry,Symbol,P/E,MarketCap
Reliance Industries Limited,Large,Energy,Oil & Gas Refining & Marketing,RELIANCE,27.61701,16316861775872
Tata Consultancy Services Limited,Large,Technology,Information Technology Services,TCS,37.61327,14156264636416
HDFC Bank Limited,Large,Financial Services,Banks—Regional,HDFCBANK,23.326649,8380209430528
Infosys Limited,Large,Technology,Information Technology Services,INFY,33.90062,7280079667200
Hindustan Unilever Limited,Large,Consumer Defensive,Household & Personal Products,HINDUNILVR,61.147617,5356947767296
Housing Development Finance Corporation Limited,Large,Financial Services,Mortgage Finance,HDFC,20.262094,4302155022336
ICICI Bank Limited,Large,Financial Services,Banks—Regional,ICICIBANK,24.374207,5329251729408
Kotak Mahindra Bank Limited,Large,Financial Services,Banks—Regional,KOTAKBANK,33.358253,3585133248512
State Bank of India,Large,Financial Services,Banks—Regional,SBIN,14.448695,4617146466304
Bajaj Finance Limited,Large,Financial Services,Credit Services,BAJFINANCE,72.23819,4280002281472
Bharti Airtel Limited,Large,Communication Services,Telecom Services,BHARTIARTL,130.74107,4204346474496
ITC Limited,Large,Consumer Defensive,Tobacco,ITC,18.55134,2747345928192
HCL Technologies Limited,Large,Technology,Information Technology Services,HCLTECH,25.345894,3161696763904
Asian Paints Limited,Large,Basic Materials,Specialty Chemicals,ASIANPAINT,102.45113,3109550030848
Wipro Limited,Large,Technology,Information Technology Services,WIPRO,25.315624,3058960695296
Axis Bank Limited,Large,Financial Services,Banks—Regional,AXISBANK,19.349222,2438650658816
Maruti Suzuki India Limited,Large,Consumer Cyclical,Auto Manufacturers,MARUTI,79.96947,2594867249152
Larsen & Toubro Limited,Large,Industrials,Engineering & Construction,LT,31.253057,2602917691392
UltraTech Cement Limited,Large,Basic Materials,Building Materials,ULTRACEMCO,32.069355,2082795683840
Avenue Supermarts Limited,Large,Consumer Defensive,Discount Stores,DMART,181.97467,2670809317376
Adani Green Energy Limited,Large,Utilities,Utilities—Renewable,ADANIGREEN,1853.5748,3041060978688
Bajaj Finserv Limited,Large,Financial Services,Financial Conglomerates,BAJAJFINSV,61.898544,2593773846528
Sun Pharmaceutical Industries Limited,Large,Healthcare,Drug Manufacturers—Specialty & Generic,SUNPHARMA,32.634193,2096174727168
Adani Ports and Special Economic Zone Limited,Large,Industrials,Marine Shipping,ADANIPORTS,31.401098,1530414497792
HDFC Life Insurance Company Limited,Large,Financial Services,Insurance—Life,HDFCLIFE,103.33096,1228747309056
Titan Company Limited,Large,Consumer Cyclical,Luxury Goods,TITAN,99.30227,2211119890432
Oil & Natural Gas Corporation Limited,Large,Energy,Oil & Gas Integrated,ONGC,4.737946,2105956106240
Hindustan Zinc Limited,Mid,Basic Materials,Other Industrial Metals & Mining,HINDZINC,14.502832,1331825475584
Adani Enterprises Limited,Large,Energy,Thermal Coal,ADANIENT,258.2762,1947763605504
JSW Steel Limited,Large,Basic Materials,Steel,JSWSTEEL,7.196978,1556689715200
Power Grid Corporation of India Limited,Large,Utilities,Utilities—Regulated Electric,POWERGRID,8.513525,1379039576064
SHREE CEMENT LIMITED,Large,Basic Materials,Building Materials,SHREECEM,36.064342,892198518784
Bajaj Auto Limited,Large,Consumer Cyclical,Auto Manufacturers,BAJAJ-AUTO,16.766502,1038335672320
Adani Total Gas Limited,Mid,Utilities,Utilities—Regulated Gas,ATGL,335.83383,1920268369920
NTPC Limited,Large,Utilities,Utilities—Independent Power Producers,NTPC,8.148595,1308080734208
Tata Motors Limited,Large,Consumer Cyclical,Auto Manufacturers,TATAMOTORS,0,0
Adani Transmission Limited,Large,Utilities,Utilities—Regulated Electric,ADANITRANS,228.00775,2198960209920
Mahindra & Mahindra Limited,Large,Consumer Cyclical,Auto Manufacturers,M&M,0,0
Divi's Laboratories Limited,Large,Healthcare,Drug Manufacturers—Specialty & Generic,DIVISLAB,45.66968,1172682702848
Tech Mahindra Limited,Large,Technology,Information Technology Services,TECHM,24.754606,1396141719552
Dabur India Limited,Large,Consumer Defensive,Household & Personal Products,DABUR,54.212063,985936101376
Grasim Industries Limited,Large,Basic Materials,Building Materials,GRASIM,13.903615,1149767647232
Bharat Petroleum Corporation Limited,Large,Energy,Oil & Gas Refining & Marketing,BPCL,4.08314,809455648768
Pidilite Industries Limited,Large,Basic Materials,Specialty Chemicals,PIDILITIND,98.61268,1240763465728
Tata Steel Limited,Large,Basic Materials,Steel,TATASTEEL,3.2703876,1463527014400
SBI Life Insurance Company Limited,Large,Financial Services,Insurance—Life,SBILIFE,81.32464,1110310780928
Britannia Industries Limited,Large,Consumer Defensive,Packaged Foods,BRITANNIA,55.01724,830372118528
SBI Cards and Payment Services Limited,Large,Financial Services,Credit Services,SBICARD,65.94929,794761363456
Indian Oil Corporation Limited,Large,Energy,Oil & Gas Refining & Marketing,IOC,4.033282,1136289120256
Vedanta Limited,Large,Basic Materials,Other Industrial Metals & Mining,VEDL,7.073325,1369416400896
Coal India Limited,Large,Energy,Thermal Coal,COALINDIA,6.595315,1006373830656
Dr. Reddy's Laboratories Limited,Large,Healthcare,Drug Manufacturers—Specialty & Generic,DRREDDY,27.250154,716211879936
Godrej Consumer Products Limited,Large,Consumer Defensive,Household & Personal Products,GODREJCP,47.169434,842657038336
