Vaccine,Country Name,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
HIB3,Afghanistan,..,..,..,..,..,..,..,..,..,63,66,68,67,64,62,65,66,66,66,66
HIB3,Africa Eastern and Southern,5.106080222,4.848975795,17.4607067,18.15662793,23.62397076,24.70063775,25.5596599,36.37191581,47.30156123,71.64352737,71.92405506,75.40864806,75.04699197,75.42579618,76.9740428,76.75522202,76.25714051,75.91078489,76.59920545,76.67682071
HIB3,Africa Western and Central,0.4616099315,0.4386354063,5.474165407,5.400725212,5.336487344,7.084308082,14.65557286,18.77583376,22.09647357,40.40270235,41.54265005,40.51626238,46.1580491,53.29395633,60.97074071,60.71817371,66.37807795,67.8162296,67.49154955,68.48596034
HIB3,Albania,..,..,..,..,..,..,..,..,..,98,99,99,99,99,98,99,98,99,99,99
HIB3,Algeria,..,..,..,..,..,..,..,..,93,95,95,95,95,95,95,95,91,91,91,91
HIB3,American Samoa,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Andorra,90,92,92,91,95,97,93,95,98,97,98,99,98,96,97,97,98,99,99,98
HIB3,Angola,..,..,..,..,..,..,..,43,45,47,49,50,52,54,55,55,55,52,59,53
HIB3,Antigua and Barbuda,..,97,97,97,97,99,99,99,97,94,98,99,98,99,99,99,92,95,95,99
HIB3,Arab World,1.528759505,8.406114903,16.02866044,18.65856708,18.62768003,21.98359622,23.0508227,32.5082155,51.8699635,52.21960167,52.52599504,54.69645683,56.51897166,61.8806732,85.4799975,84.76833504,85.81375951,86.97179255,85.95920685,86.58343945
HIB3,Argentina,83,83,93,96,98,98,91,91,93,94,94,91,91,94,94,94,92,86,86,86
HIB3,Armenia,..,..,..,..,..,..,..,..,..,..,48,95,95,95,93,94,94,94,92,92
HIB3,Aruba,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Australia,90,95,95,95,95,94,95,94,94,94,92,92,92,91,91,93,94,94,94,95
HIB3,Austria,72,74,82,84,83,86,83,85,83,83,86,89,92,95,98,93,87,90,85,85
HIB3,Azerbaijan,..,..,..,..,..,..,..,..,..,..,..,36,89,93,94,96,97,95,95,94
HIB3,"Bahamas, The",90,99,94,93,93,93,95,95,94,96,98,98,98,97,96,95,94,94,90,86
HIB3,Bahrain,97,99,98,97,98,98,98,97,97,97,99,99,99,99,98,98,99,97,99,99
HIB3,Bangladesh,..,..,..,..,..,..,..,..,..,97,94,87,94,96,97,98,98,98,98,98
HIB3,Barbados,..,18,66,88,93,92,84,93,85,93,86,91,87,91,94,97,97,90,95,90
HIB3,Belarus,..,..,..,..,..,..,..,..,6,19,..,21,22,23,20,9,11,9,67,91
HIB3,Belgium,86,86,86,87,87,95,98,98,98,98,98,98,98,98,98,98,97,97,97,97
HIB3,Belize,..,96,89,96,97,96,98,96,94,97,96,95,98,95,95,94,95,88,96,98
HIB3,Benin,..,..,..,..,..,35,74,82,75,79,76,75,80,77,74,74,76,76,76,76
HIB3,Bermuda,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Bhutan,..,..,..,..,..,..,..,..,..,..,..,..,97,97,99,99,98,98,97,97
HIB3,Bolivia,77,77,77,80,84,85,83,84,88,93,91,95,93,87,85,89,87,84,83,75
HIB3,Bosnia and Herzegovina,..,..,..,..,49,50,82,83,83,80,83,85,87,83,79,78,69,68,62,62
HIB3,Botswana,..,..,..,..,..,..,..,..,..,..,..,95,95,95,95,95,95,95,95,95
HIB3,Brazil,90,93,93,94,95,96,97,98,99,99,99,99,95,98,95,96,89,93,83,80
HIB3,British Virgin Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Brunei Darussalam,..,..,94,92,92,94,97,99,98,99,95,97,95,99,96,99,99,99,99,99
HIB3,Bulgaria,..,..,..,..,..,..,..,..,..,..,91,95,95,95,83,87,92,92,92,92
HIB3,Burkina Faso,..,..,..,..,..,..,76,89,93,92,91,91,90,88,91,91,91,91,91,91
HIB3,Burundi,..,..,..,..,83,87,92,99,92,94,96,96,96,96,95,94,94,91,90,93
HIB3,Cabo Verde,..,..,..,..,..,..,..,..,..,..,..,90,94,93,96,94,96,97,99,97
HIB3,Cambodia,..,..,..,..,..,..,..,..,..,..,86,88,89,86,91,92,93,93,92,92
HIB3,Cameroon,..,..,..,..,..,..,..,..,..,80,84,82,85,89,83,78,75,74,67,67
HIB3,Canada,88,88,88,88,91,93,95,93,92,91,90,89,90,91,91,91,91,91,91,91
HIB3,Caribbean small states,14.3156835,36.31891221,35.41557792,58.45057973,86.99072036,95.36529585,93.23902322,91.3117338,91.05037112,92.04306996,92.87636044,91.12192319,93.69452385,92.52097812,91.6878642,90.63375052,95.66689369,90.0222083,95.4417975,93.59532697
HIB3,Cayman Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Central African Republic,..,..,..,..,..,..,..,..,..,42,45,47,47,23,47,47,47,47,47,47
HIB3,Central Europe and the Baltics,13.36129844,15.13382349,28.90614273,31.16401404,32.97561101,42.00483523,47.58145996,67.55569098,71.29530109,71.81426025,78.02681028,96.12381821,96.75445031,96.57554144,95.09615893,94.92157469,95.20858874,92.92769559,93.48120594,94.13122027
HIB3,Chad,..,..,..,..,..,..,..,..,17,24,39,33,40,39,36,42,41,41,46,50
HIB3,Channel Islands,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Chile,91,97,97,96,93,91,94,96,95,94,92,94,90,90,95,97,95,93,95,96
HIB3,China,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Colombia,65,55,69,93,89,93,93,93,92,92,88,85,91,91,90,91,91,92,92,92
HIB3,Comoros,..,..,..,..,..,..,..,..,..,38,74,83,89,88,88,91,91,91,91,91
HIB3,"Congo, Dem. Rep.",..,..,..,..,..,..,..,..,..,72,60,74,75,68,68,63,57,57,57,57
HIB3,"Congo, Rep.",..,..,..,..,..,..,..,..,..,72,74,71,64,85,90,80,71,69,75,79
HIB3,Costa Rica,92,89,93,87,90,89,88,88,87,87,90,81,90,95,91,92,97,96,94,94
HIB3,Cote d'Ivoire,..,..,..,..,..,..,..,..,..,81,79,62,82,75,73,79,87,83,86,84
HIB3,Croatia,..,..,79,95,95,96,96,96,96,96,97,96,96,96,95,94,93,92,94,94
HIB3,Cuba,99,99,99,99,99,94,97,97,97,96,96,96,96,96,97,99,99,99,99,99
HIB3,Curacao,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
HIB3,Cyprus,32,32,32,58,58,58,90,90,90,96,96,96,96,96,96,97,96,96,97,92
HIB3,Czech Republic,..,..,95,97,98,97,97,99,99,99,99,99,99,99,99,97,96,94,96,97
HIB3,Denmark,95,95,96,96,95,93,93,87,88,89,90,91,94,94,94,93,94,98,97,97
HIB3,Djibouti,..,..,..,..,..,..,..,25,89,89,88,87,81,82,78,84,68,76,84,85
HIB3,Dominica,..,..,..,..,..,..,7,93,96,99,98,98,97,96,97,98,99,91,94,99
HIB3,Dominican Republic,..,20,43,75,80,87,80,70,79,77,81,71,70,75,87,76,73,77,90,79
HIB3,Early-demographic dividend,7.133743912,8.325025514,11.08589542,11.73292298,12.58335376,14.1354941,14.3843626,18.34177855,20.75582858,31.40799881,32.6853191,34.88833271,35.65975276,47.28062379,53.24061296,69.04634161,83.44554174,85.76693595,85.93581705,86.22517614
HIB3,East Asia & Pacific,0.931961118,0.9072412612,0.9906877499,0.9988163241,2.196666361,2.480765046,2.589358594,2.668620065,2.873743052,3.408993629,7.791400403,14.01690174,14.94341954,21.60559604,27.57254771,35.68165773,37.74204674,36.47939111,35.01115755,35.69033763
HIB3,East Asia & Pacific (excluding high income),0.07233779978,0.0659359498,0.07115308749,0.07077424695,1.333062525,1.623228356,1.700479909,1.763517463,1.93116882,2.448069009,7.154449508,9.980580275,11.04075366,18.08930335,22.98910854,31.7502281,33.9074606,32.60944554,31.09818003,31.89424394
HIB3,East Asia & Pacific (IDA & IBRD countries),0.07330294916,0.06674817148,0.07210750706,0.07173848574,1.351408525,1.645474248,1.723853191,1.786297369,1.95506244,2.47716657,7.237055681,10.09059263,10.80252028,17.23203762,22.17875357,30.99711654,33.15867383,31.83353858,30.29170253,31.08528078
HIB3,Ecuador,..,..,..,54,86,90,94,95,95,93,90,88,87,87,83,78,83,85,85,85
HIB3,"Egypt, Arab Rep.",..,..,..,..,..,..,..,..,..,..,..,..,..,..,94,93,95,94,95,95
HIB3,El Salvador,..,..,81,94,90,89,96,99,98,91,89,89,92,92,93,91,93,85,81,81
HIB3,Equatorial Guinea,..,..,..,..,..,..,..,..,..,..,..,..,..,..,53,40,53,53,53,53
HIB3,Eritrea,..,..,..,..,..,..,..,..,95,95,95,94,94,94,94,95,95,95,95,95
HIB3,Estonia,..,..,..,..,27,37,88,95,95,95,94,93,94,94,93,93,93,93,92,91
HIB3,Eswatini,..,..,..,..,..,..,..,..,..,89,89,91,95,98,98,90,90,90,90,90
HIB3,Ethiopia,..,..,..,..,..,..,..,47,52,56,62,65,62,59,61,63,66,68,68,68
